Name,Accounts,COMENTARIOS,Date,Direction,GANANCIA NETA,IMAGEN,P/L (1),PUNTOS,RR NEGATIVO,RRx,STOP
,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),RE ENTRADA,10 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/2AK6JaMA/,-1 %,86,No,,"43,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,4 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/m6JLo5Nl/,"0,7 %",286,Yes,,"143,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,9 de febrero de 2026,,,https://www.tradingview.com/x/w24bBdzk/,"0,7 %",115,Yes,,"57,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),ACABA SESION,6 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/CBSpiNMy/,"0,7 %",160,Yes,,"80,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,6 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/fktfBGSM/,"0,7 %",158,Yes,,"79,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,6 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/f6cr27qy/,"0,7 %",80,Yes,,"40,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,9 de febrero de 2026,,,https://www.tradingview.com/x/w24bBdzk/,"0,7 %",70,Yes,,"35,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,3 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/iMrpYXfp/,"0,7 %",87,Yes,,"43,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,4 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/yqNHfvS4/,"0,7 %",257,Yes,,"128,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,6 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/VWh40QxI/,"0,7 %",172,Yes,,"86,00 US$"
Trade Template,,,2 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/UFykMGcq/,"0,7 %",289,Yes,,"144,50 US$"
Trade Template,,,30 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/bALMtLhe/,"0,7 %",305,Yes,,"152,50 US$"
Trade Template,,,3 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/st9n17jf/,"0,7 %",377,Yes,,"188,50 US$"
Trade Template,,,4 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/7tRSHF4U/,"0,7 %",450,Yes,,"225,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,3 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/wldVxj32/,-1 %,267,No,,"133,50 US$"
Trade Template,,,26 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/cb4QEiuN/,"0,7 %",203,Yes,,"101,50 US$"
Trade Template,,,27 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/nPs2kxFZ/,"0,7 %",65,Yes,,"32,50 US$"
Trade Template,,,19 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/RsXhY00H/,"0,7 %",157,Yes,,"78,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),ENTRADA EN TRANSICION,10 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/5XZvQttW/,-1 %,127,No,,"63,50 US$"
Trade Template,,,29 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/XnCmNVkt/,"0,7 %",281,Yes,,"140,50 US$"
Trade Template,,,21 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/pcthKadS/,"0,7 %",184,Yes,,"92,00 US$"
,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,11 de febrero de 2026,,,,"0,7 %",245,Yes,,"122,50 US$"
Trade Template,,,28 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/zXQr5TvQ/,"0,7 %",205,Yes,,"102,50 US$"
Trade Template,,,26 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/pliIualR/,"0,7 %",95,Yes,,"47,50 US$"
Trade Template,,,22 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/Ky9qF7Jo/,-1 %,269,No,,"134,50 US$"
Trade Template,,,23 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/BGPpskb6/,"0,7 %",177,Yes,,"88,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,11 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/pqzNbCLF/,"0,7 %",177,Yes,,"88,50 US$"
Trade Template,,,29 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/5aejWlte/,"0,7 %",213,Yes,,"106,50 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,11 de febrero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/jwtrhyQo/,"0,2 %",486,Yes,,"243,00 US$"
Trade Template,,DA DOS ENTRADAS BUENAS,28 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/yrYUZ7YB/,"1,4 %",60,Yes,,"30,00 US$"
Trade Template,,,27 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,,"0,7 %",53,Yes,,"26,50 US$"
Trade Template,,,22 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/NIbPa4Xh/,"0,7 %",126,Yes,,"63,00 US$"
Trade Template,,,23 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/i99hHERJ/,"0,7 %",111,Yes,,"55,50 US$"
Trade Template,,,19 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/1RZA2PgZ/,"0,7 %",146,Yes,,"73,00 US$"
Trade Template,,,19 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/dC60KBxX/,"0,7 %",56,Yes,,"28,00 US$"
Trade Template,,Re entrada,19 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/jLfbRM9P/,"0,7 %",57,Yes,,"28,50 US$"
Trade Template,,,16 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/B4iykVRg/,"0,7 %",113,Yes,,"56,50 US$"
Trade Template,,re entrada,16 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/KhQnUd7Q/,"0,7 %",264,Yes,,"132,00 US$"
Trade Template,,,16 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/VYB3xmSQ/,"0,7 %",252,Yes,,"126,00 US$"
Trade Template,,,16 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/GTpk2196/,"0,7 %",92,Yes,,"46,00 US$"
Trade Template,,,16 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/A76QlR26/,"0,7 %",61,Yes,,"30,50 US$"
Trade Template,,,16 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/nqdja43X/,"0,7 %",79,Yes,,"39,50 US$"
Trade Template,,,16 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/YDhfrrkG/,"0,7 %",55,Yes,,"27,50 US$"
Trade Template,,,16 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/JHFUlBr6/,"0,7 %",99,Yes,,"49,50 US$"
Trade Template,,,15 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/6bh3NhbE/,-1 %,171,No,,"85,50 US$"
Trade Template,,,15 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/t8OJEVSj/,"0,7 %",84,Yes,,"42,00 US$"
Trade Template,,,14 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/SxpHk0ye/,"0,7 %",124,Yes,,"62,00 US$"
Trade Template,,,14 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/pR5fgkBa/,"0,7 %",189,Yes,,"94,50 US$"
Trade Template,,,14 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/I20XabPn/,"0,7 %",268,Yes,,"134,00 US$"
Trade Template,,,14 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/33u3vBDE/,-1 %,249,No,,"124,50 US$"
Trade Template,,,13 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/cadVHL13/,"0,7 %",178,Yes,,"89,00 US$"
Trade Template,,,13 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/T7XRhibR/,"0,7 %",78,Yes,,"39,00 US$"
Trade Template,,,13 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/SQq9ThV2/,"0,7 %",200,Yes,,"100,00 US$"
Trade Template,TESTING (https://www.notion.so/TESTING-2afd57c82e06809a8d74c2168bd26878?pvs=21),,12 de febrero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/12Aa1jiZ/,"0,7 %",135,Yes,,"67,50 US$"
Trade Template,,,12 de febrero de 2026,,,,"0,7 %",362,Yes,,"181,00 US$"
Trade Template,,,12 de febrero de 2026,,,,"0,7 %",259,Yes,,"129,50 US$"
Trade Template,,,12 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/6XQwGN9A/,"0,7 %",190,Yes,,"95,00 US$"
Trade Template,,,12 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/S4atucBW/,-1 %,41,No,,"20,50 US$"
Trade Template,,,12 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/dkzGCCYP/,"0,7 %",99,Yes,,"49,50 US$"
Trade Template,,,12 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/2CvWWtoE/,"0,7 %",64,Yes,,"32,00 US$"
Trade Template,,,9 de enero de 2026,,,https://www.tradingview.com/x/W5sXDQSk/,"0,7 %",53,Yes,,"26,50 US$"
Trade Template,,,9 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/6LToQvF5/,-1 %,79,No,,"39,50 US$"
Trade Template,,,8 de enero de 2026,,,https://www.tradingview.com/x/z0YhauKo/,"0,7 %",351,Yes,,"175,50 US$"
Trade Template,,,8 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/mRM9p38v/,"0,7 %",142,Yes,,"71,00 US$"
Trade Template,,,8 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/qoXiIjMr/,"0,7 %",187,Yes,,"93,50 US$"
Trade Template,,,8 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/ikbSlo0L/,"0,7 %",108,Yes,,"54,00 US$"
Trade Template,,,7 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/qB7MH43G/,"0,7 %",119,Yes,,"59,50 US$"
Trade Template,,,7 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/d8jdsR5U/,"0,7 %",186,Yes,,"93,00 US$"
Trade Template,,,7 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/zoWQszHM/,-1 %,40,No,,"20,00 US$"
Trade Template,,,7 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/coRmNrc8/,0 %,49,No,,"24,50 US$"
Trade Template,,,7 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/8VEiOmWW/,"0,7 %",34,Yes,,"17,00 US$"
Trade Template,,,6 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/cJV2jOX1/,"0,7 %",170,Yes,,"85,00 US$"
Trade Template,,,6 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/2315IFxH/,"0,7 %",121,Yes,,"60,50 US$"
Trade Template,,,6 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/SIVjEZjg/,-1 %,163,No,,"81,50 US$"
Trade Template,,,6 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/Is0lDiFq/,"0,7 %",135,Yes,,"67,50 US$"
